Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C0603,246.775,-89.815,90.0,top
C10,10uF,C0805,238.375,-105.866,90.0,top
C11,10nF,C0402,229.42,-102.366,180.0,top
C12,10nF,C0402,223.0,-104.545,90.0,top
C13,10uF,C0805,222.2,-98.4,-90.0,top
C14,2.2uF,C0805,218.0,-100.0,0.0,top
C15,100nF,C0603,187.5925,-75.0,90.0,top
C16,10uF,C0805,187.5925,-80.0,-90.0,top
C17,22uF,C1206,191.0,-72.0,180.0,top
C18,100nF,C0603,218.5,-75.05,90.0,top
C19,10uF,C0805,218.5,-79.5,-90.0,top
C2,1uF,C0805,190.0,-101.0,180.0,top
C20,22uF,C1206,221.5925,-72.0,180.0,top
C21,10uF,C0805,243.775,-89.115,90.0,top
C22,100nF,C0603,256.2,-110.6,0.0,top
C23,100nF,C0603,255.6125,-100.15,0.0,top
C24,1uF,C0805,245.0,-72.0,180.0,top
C25,100nF,C0603,245.0,-76.0,180.0,top
C26,10uF,C0805,186.0,-96.5,-90.0,top
C3,1uF,C0805,195.5,-92.0,0.0,top
C4,1uF,C0805,259.9,-114.6,-90.0,top
C5,10nF,C0402,256.355,-116.6,0.0,top
C6,1uF,C0805,260.1125,-104.15,-90.0,top
C7,10nF,C0402,256.1125,-106.15,0.0,top
C8,1uF,C0805,256.0,-95.1375,0.0,top
C9,2.2uF,C0805,233.875,-99.366,0.0,top
D1,KT-0805G,LED0805-R-RD,198.5925,-98.5,180.0,top
D2,KT-0805G,LED0805-R-RD,198.5925,-102.5,180.0,top
D3,KT-0805G,LED0805-R-RD,251.5,-85.337,90.0,top
J1,Conn_02x16_Odd_Even,PinHeader_2x16_P2.54mm_Vertical,224.73,-117.9535,-90.0,top
J2,JST_PH_2mm,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,194.0,-113.45,180.0,top
JP1,JP RITERM,C1206,193.0,-88.0,180.0,top
L1,1.5uH,L1008,192.0925,-81.0,180.0,top
L2,1uH,C0805,221.0,-83.0,90.0,top
Q2,S9013 J3(RANGE:200-350),SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,209.2,-88.0,0.0,top
R1,1k,C0603,203.143,-102.5,180.0,top
R10,10k,C0805,214.7,-89.0,0.0,top
R11,1k,C0603,203.2925,-98.5,180.0,top
R12,10k,C0805,252.4,-114.6,90.0,top
R13,10k,C0805,252.1125,-104.15,90.0,top
R14,100k,C1206,197.0,-72.0,0.0,top
R15,5.1k,C0603,260.75,-80.8875,0.0,top
R16,5.1k,C0603,252.2,-80.8875,180.0,top
R18,1k,C0603,251.5,-90.1875,90.0,top
R19,51k,C0805,229.875,-105.366,-90.0,top
R2,3K3,C0603,229.825,-87.615,0.0,top
R20,1,C1206,234.375,-111.366,0.0,top
R21,51k,C0805,223.5,-110.0,-90.0,top
R22,2,C0603,212.7,-102.5,180.0,top
R23,2,C0603,210.9,-104.2,180.0,top
R24,2,C0603,205.3,-110.2,180.0,top
R25,1M,C1206,196.5925,-76.5925,90.0,top
R26,82k,C0603,230.0,-75.7,-90.0,top
R27,1M,C1206,227.5,-76.5925,-90.0,top
R28,2,C0603,208.9,-106.2,180.0,top
R29,2.2k,C0603,204.0,-88.0,0.0,top
R3,0.5m,R2512,236.612,-81.615,180.0,top
R30,82k,C0603,199.5925,-75.8,-90.0,top
R31,100k,C1206,227.5925,-72.0,0.0,top
R32,2,C0603,207.3,-108.2,180.0,top
R33,10k,C0805,257.0,-80.8875,90.0,top
R34,1M,C1206,214.9075,-93.3625,0.0,top
R35,1M,C1206,214.9075,-96.7,0.0,top
R4,3K3,C0603,229.825,-91.115,0.0,top
R5,1.2k,C0603,196.8,-94.0,180.0,top
R7,10k,C0805,186.5,-91.5,180.0,top
R8,2.2k,C0603,199.0,-88.0,0.0,top
R9,2.2k,C0603,214.7,-85.5,0.0,top
SW1,SS-12D11G3R,SW-TH_SS-12D11L3,208.0,-75.7435,0.0,top
U1,INA219AIDR,SOIC-8_3.9x4.9mm_P1.27mm,236.525,-89.365,0.0,top
U10,TPS63020DSJR,VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ,223.0,-76.5,0.0,top
U2,DRV8833PWR,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,234.1,-105.01175,0.0,top
U3,BQ24074RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,191.6,-96.6,0.0,top
U4,TPS22810DRVR,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,256.4,-114.5,0.0,top
U5,TPS22810DRVR,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,256.0,-104.0,0.0,top
U6,CH224K,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,257.0,-88.0,90.0,top
U7,DRV8833PWR,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,219.125,-106.366,0.0,top
U8,L78L33ACUTR,SOT-89-3,238.3,-74.0,180.0,top
U9,TPS63020DSJR,VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ,192.0925,-76.5,0.0,top
USBC1,TYPE-C-31-M-05,USB-C-SMD_TYPE-C-USB-19,257.45,-74.0865,180.0,top
