"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C15,C18,C22,C23,C25","6","100nF","","","","Library:C0603","~"
"C2,C3,C4,C6,C8,C24","6","1uF","","","","Library:C0805","~"
"C5,C7,C11,C12","4","10nF","","","","Library:C0402","~"
"C9,C14","2","2.2uF","","","","Library:C0805","~"
"C10,C13,C16,C19,C21,C26","6","10uF","","","","Library:C0805","~"
"C17,C20","2","22uF","","","","Library:C1206","~"
"D1,D2,D3","3","KT-0805G","","","","Library:LED0805-R-RD","~"
"L1","1","1.5uH","","","","Library:L1008","~"
"L2","1","1uH","","","","Library:C0805","~"
"Q2","1","S9013 J3(RANGE:200-350)","","","","Library:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",""
"R1,R11,R18","3","1k","","","","Library:C0603","~"
"R2,R4","2","3K3","","","","Library:C0603","~"
"R3","1","0.5m","","","","Library:RES-SMD_L6.3-W3.3_HOLR2512","~"
"R5","1","1.2k","","","","Library:C0603","~"
"R7,R10,R12,R13,R33","5","10k","","","","Library:C0805","~"
"R8,R9,R29","3","2.2k","","","","Library:C0603","~"
"R14,R31","2","100k","","","","Library:C1206","~"
"R15,R16","2","5.1k","","","","Library:C0603","~"
"R19,R21","2","51k","","","","Library:C0805","~"
"R20","1","1","","","","Library:C1206","~"
"R22,R23,R24,R28,R32","5","2","","","","Library:C0603","~"
"R25","1","1M","","","","Library:C1206","~"
"R26,R30","2","82k","","","","Library:C0603","~"
"R27","1","1.6M","","","","Library:C1206","~"
"SW1","1","SS-12D11G3R","","","","Library:SW-TH_SS-12D11L3",""
"U1","1","INA219AIDR","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina219.pdf"
"U2,U7","2","DRV8833PWR","","","","Library:TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL",""
"U3","1","BQ24074RGT","","","","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm","http://www.ti.com/lit/ds/symlink/bq24074.pdf"
"U4,U5","2","TPS22810DRVR","","","","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","http://www.ti.com/lit/ds/symlink/tps22810.pdf"
"U6","1","CH224K","","","","Package_SO:SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm","https://www.wch.cn/downloads/file/301.html"
"U8","1","L78L33ACUTR","","","","Package_TO_SOT_SMD:SOT-89-3","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf"
"U9,U10","2","TPS63020DSJR","","","","Library:VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ",""
"USBC1","1","TYPE-C-31-M-12","","","","Library:USB-C_SMD-TYPE-C-31-M-12",""
